Symbol	Company	Weight	Market
MSFT	Microsoft Corporation	5.447417	S&P 500
AAPL	Apple Inc.	5.23108	S&P 500
AMZN	Amazon.com Inc.	3.97622	S&P 500
FB	Facebook Inc. Class A	2.133678	S&P 500
GOOGL	Alphabet Inc. Class A	1.661297	S&P 500
GOOG	Alphabet Inc. Class C	1.653864	S&P 500
JNJ	Johnson & Johnson	1.50712	S&P 500
BRK.B	Berkshire Hathaway Inc. Class B	1.437871	S&P 500
V	Visa Inc. Class A	1.298252	S&P 500
JPM	JPMorgan Chase & Co.	1.259858	S&P 500
PG	Procter & Gamble Company	1.138698	S&P 500
UNH	UnitedHealth Group Incorporated	1.114438	S&P 500
HD	Home Depot Inc.	1.054749	S&P 500
MA	Mastercard Incorporated Class A	1.050109	S&P 500
INTC	Intel Corporation	1.037787	S&P 500
VZ	Verizon Communications Inc.	0.905428	S&P 500
T	AT&T Inc.	0.886721	S&P 500
DIS	Walt Disney Company	0.848341	S&P 500
NVDA	NVIDIA Corporation	0.827	S&P 500
BAC	Bank of America Corp	0.810538	S&P 500
MRK	Merck & Co. Inc.	0.804835	S&P 500
XOM	Exxon Mobil Corporation	0.802583	S&P 500
PFE	Pfizer Inc.	0.770895	S&P 500
CSCO	Cisco Systems Inc.	0.767114	S&P 500
ADBE	Adobe Inc.	0.727125	S&P 500
CMCSA	Comcast Corporation Class A	0.72228	S&P 500
PEP	PepsiCo Inc.	0.713475	S&P 500
NFLX	Netflix Inc.	0.712407	S&P 500
KO	Coca-Cola Company	0.711533	S&P 500
PYPL	PayPal Holdings Inc	0.709162	S&P 500
CVX	Chevron Corporation	0.707879	S&P 500
WMT	Walmart Inc.	0.674745	S&P 500
ABT	Abbott Laboratories	0.622302	S&P 500
ABBV	AbbVie Inc.	0.617324	S&P 500
CRM	salesforce.com inc.	0.597932	S&P 500
MCD	McDonald's Corporation	0.560767	S&P 500
BMY	Bristol-Myers Squibb Company	0.544019	S&P 500
TMO	Thermo Fisher Scientific Inc.	0.5363	S&P 500
COST	Costco Wholesale Corporation	0.522144	S&P 500
ACN	Accenture Plc Class A	0.507098	S&P 500
AMGN	Amgen Inc.	0.506139	S&P 500
MDT	Medtronic Plc	0.501382	S&P 500
NKE	NIKE Inc. Class B	0.499733	S&P 500
LLY	Eli Lilly and Company	0.496471	S&P 500
NEE	NextEra Energy Inc.	0.488763	S&P 500
UNP	Union Pacific Corporation	0.476148	S&P 500
AVGO	Broadcom Inc.	0.472988	S&P 500
TXN	Texas Instruments Incorporated	0.458082	S&P 500
AMT	American Tower Corporation	0.456267	S&P 500
C	Citigroup Inc.	0.448606	S&P 500
ORCL	Oracle Corporation	0.446418	S&P 500
PM	Philip Morris International Inc.	0.444793	S&P 500
LIN	Linde plc	0.440544	S&P 500
IBM	International Business Machines Corporation	0.44028	S&P 500
WFC	Wells Fargo & Company	0.427444	S&P 500
HON	Honeywell International Inc.	0.422106	S&P 500
DHR	Danaher Corporation	0.411512	S&P 500
LOW	Lowe's Companies Inc.	0.39224	S&P 500
LMT	Lockheed Martin Corporation	0.385211	S&P 500
RTX	Raytheon Technologies Corporation	0.380475	S&P 500
QCOM	QUALCOMM Incorporated	0.369979	S&P 500
GILD	Gilead Sciences Inc.	0.362801	S&P 500
SBUX	Starbucks Corporation	0.362318	S&P 500
MMM	3M Company	0.357316	S&P 500
BA	Boeing Company	0.356907	S&P 500
CVS	CVS Health Corporation	0.335276	S&P 500
CHTR	Charter Communications Inc. Class A	0.330799	S&P 500
FIS	Fidelity National Information Services Inc.	0.330692	S&P 500
BLK	BlackRock Inc.	0.321886	S&P 500
SPGI	S&P Global Inc.	0.313897	S&P 500
INTU	Intuit Inc.	0.290761	S&P 500
CI	Cigna Corporation	0.289876	S&P 500
MO	Altria Group Inc	0.289588	S&P 500
MDLZ	Mondelez International Inc. Class A	0.28908	S&P 500
ANTM	Anthem Inc.	0.282768	S&P 500
NOW	ServiceNow Inc.	0.282173	S&P 500
UPS	United Parcel Service Inc. Class B	0.28001	S&P 500
CCI	Crown Castle International Corp	0.27979	S&P 500
BKNG	Booking Holdings Inc.	0.278512	S&P 500
PLD	Prologis Inc.	0.276974	S&P 500
BDX	Becton Dickinson and Company	0.276191	S&P 500
VRTX	Vertex Pharmaceuticals Incorporated	0.274606	S&P 500
D	Dominion Energy Inc	0.274359	S&P 500
AXP	American Express Company	0.272438	S&P 500
CAT	Caterpillar Inc.	0.270567	S&P 500
ZTS	Zoetis Inc. Class A	0.261524	S&P 500
GS	Goldman Sachs Group Inc.	0.258505	S&P 500
TJX	TJX Companies Inc	0.258056	S&P 500
CME	CME Group Inc. Class A	0.257273	S&P 500
ISRG	Intuitive Surgical Inc.	0.255951	S&P 500
ADP	Automatic Data Processing Inc.	0.25302	S&P 500
DUK	Duke Energy Corporation	0.250733	S&P 500
SYK	Stryker Corporation	0.248937	S&P 500
GE	General Electric Company	0.247621	S&P 500
FISV	Fiserv Inc.	0.239754	S&P 500
TGT	Target Corporation	0.237799	S&P 500
AMD	Advanced Micro Devices Inc.	0.237768	S&P 500
SO	Southern Company	0.237482	S&P 500
CL	Colgate-Palmolive Company	0.236558	S&P 500
REGN	Regeneron Pharmaceuticals Inc.	0.234311	S&P 500
EQIX	Equinix Inc.	0.234159	S&P 500
CSX	CSX Corporation	0.223684	S&P 500
CB	Chubb Limited	0.220922	S&P 500
GPN	Global Payments Inc.	0.219034	S&P 500
