Symbol	Security	GICS Sector	GICS Sub Industry	Country	Headquarters Location	Headquarters State	Date first added	CIK	Founded	Weight	Price
A	Agilent Technologies Inc	Health Care	Health Care Equipment	USA	Santa Clara	California	36682	1090872	1999	0.109368	90.98
AAL	American Airlines Group	Industrials	Airlines	USA	Fort Worth	Texas	42086	6201	1934	0.017348	12.08
AAP	Advance Auto Parts	Consumer Discretionary	Automotive Retail	USA	Raleigh	North Carolina	42194	1158449	1932	0.037822	144.31
AAPL	Apple Inc.	Information Technology	"Technology Hardware, Storage & Peripherals"	USA	Cupertino	California	30285	320193	1977	5.27371	324.14
ABBV	AbbVie Inc.	Health Care	Pharmaceuticals	USA	North Chicago	Illinois	41274	1551152	2013	0.626811	90.13
ABC	AmerisourceBergen Corp	Health Care	Health Care Distributors	USA	Chesterbrook	Pennsylvania	37133	1140859	1985	0.058089	99.63
ABMD	ABIOMED Inc	Health Care	Health Care Equipment	USA	Danvers	Massachusetts	43251	815094	1981	0.040507	241.21
ABT	Abbott Laboratories	Health Care	Health Care Equipment	USA	North Chicago	Illinois	23467	1800	1888	0.639249	91.28
ACN	Accenture plc	Information Technology	IT Consulting & Other Services	USA	Dublin	Ireland	40730	1467373	1989	0.510318	206.12
ADBE	Adobe Inc.	Information Technology	Application Software	USA	San Jose	California	35555	796343	1982	0.738072	389.95
ADI	"Analog Devices, Inc."	Information Technology	Semiconductors	USA	Norwood	Massachusetts	36445	6281	1965	0.168106	122.00
ADM	Archer-Daniels-Midland Co	Consumer Staples	Agricultural Products	USA	Chicago	Illinois	29796	7084	1902	0.086565	40.38
ADP	Automatic Data Processing	Information Technology	Internet Services & Infrastructure	USA	Roseland	New Jersey	29676	8670		0.250692	151.58
ADS	Alliance Data Systems	Information Technology	Data Processing & Outsourced Services	USA	Plano	Texas	41631	1101215	1996	0.007972	54.57
ADSK	Autodesk Inc.	Information Technology	Application Software	USA	San Rafael	California	32843	769397		0.1882	223.19
AEE	Ameren Corp	Utilities	Multi-Utilities	USA	St. Louis	Missouri	33500	1002910	1902	0.071257	75.54
AEP	American Electric Power	Utilities	Electric Utilities	USA	Columbus	Ohio		4904	1906	0.165971	87.28
AES	AES Corp	Utilities	Independent Power Producers & Energy Traders	USA	Arlington	Virginia	36070	874761	1981	0.033814	13.66
AFL	AFLAC Inc	Financials	Life & Health Insurance	USA	Columbus	Georgia	36308	4977	1955	0.106743	38.39
AIG	American International Group	Financials	Property & Casualty Insurance	USA	New York	New York	29311	5272	1919	0.106863	33.28
AIV	Apartment Investment & Management	Real Estate	Residential REITs	USA	Denver	Colorado	37694	922864	1994	0.021925	39.59
AIZ	Assurant	Financials	Multi-line Insurance	USA	New York	New York	39182	1267238		0.024682	108.45
AJG	Arthur J. Gallagher & Co.	Financials	Insurance Brokers	USA	Itasca	Illinois	42521	354190		0.068945	97.65
AKAM	Akamai Technologies Inc	Information Technology	Internet Services & Infrastructure	USA	Cambridge	Massachusetts	39275	1086222	1998	0.066783	102.95
ALB	Albemarle Corp	Materials	Specialty Chemicals	USA	Charlotte	North Carolina	42552	915913	1994	0.032806	80.60
ALGN	Align Technology	Health Care	Health Care Supplies	USA	San Jose	California	42905	1097149	1997	0.074098	271.71
ALK	Alaska Air Group Inc	Industrials	Airlines	USA	Seattle	Washington	42503	766421	1985	0.017428	40.13
ALL	Allstate Corp	Financials	Property & Casualty Insurance	USA	Northfield Township	Illinois	34893	899051	1931	0.125335	100.31
ALLE	Allegion	Industrials	Building Products	USA	Dublin	Ireland	41610	1579241	1908	0.03657	103.31
ALXN	Alexion Pharmaceuticals	Health Care	Biotechnology	USA	Boston	Massachusetts	41054	899866	1992	0.100758	115.30
AMAT	Applied Materials Inc.	Information Technology	Semiconductor Equipment	USA	Santa Clara	California	34774	6951	1967	0.20136	57.58
AMCR	Amcor plc	Materials	Paper Packaging	USA	Warmley	Bristol	43623	1748790	2019	0.065582	10.69
AMD	Advanced Micro Devices Inc	Information Technology	Semiconductors	USA	Santa Clara	California	42814	2488	1969	0.24473	52.65
AME	AMETEK Inc.	Industrials	Electrical Components & Equipment	USA	Berwyn	Pennsylvania	41540	1037868	1930	0.082312	95.39
AMGN	Amgen Inc.	Health Care	Biotechnology	USA	Thousand Oaks	California	33605	318154	1980	0.519392	218.49
AMP	Ameriprise Financial	Financials	Asset Management & Custody Banks	USA	Minneapolis	Minnesota	38628	820027	1894	0.072732	154.21
AMT	American Tower Corp.	Real Estate	Specialized REITs	USA	Boston	Massachusetts	39405	1053507	1995	0.455954	267.07
AMZN	Amazon.com Inc.	Consumer Discretionary	Internet & Direct Marketing Retail	USA	Seattle	Washington	38674	1018724	1994	4.020873	2469.72
