	CO2
AFG	10.452666
ALB	5.402999
DZA	164.309295
AND	0.46421
AGO	37.678605
AIA	0.147145
ATG	0.505574
ARG	185.029897
ARM	6.296603
ABW	0.943234
AUS	415.953947
AUT	66.719678
AZE	37.488394
BHS	2.03001
BHR	31.594487
BGD	85.718805
BRB	1.207134
BLR	61.871676
BEL	100.207836
BLZ	0.612205
BEN	7.759753
BMU	0.648945
BTN	1.662172
BOL	22.345503
BIH	22.086102
BWA	6.815418
BRA	466.649304
VGB	0.173555
BRN	9.560399
BGR	43.551599
BFA	4.140342
BDI	0.568028
KHM	15.479031
CMR	7.566796
CAN	586.504635
CPV	0.609509
CAF	0.300478
TCD	1.008035
CHL	85.829114
CHN	9956.568523
COL	92.228209
COM	0.245927
COG	3.518309
COK	0.072706
CRI	8.249118
HRV	17.718646
CUB	26.084446
CYP	7.332762
CZE	104.411211
COD	2.231343
DNK	34.65143
DJI	0.389975
DOM	25.305221
ECU	41.817989
EGY	251.460913
SLV	6.018265
GNQ	5.90578
ERI	0.708769
EST	17.710953
ETH	16.184949
FJI	2.123769
FIN	45.849349
FRA	331.725446
PYF	0.780633
GAB	4.803117
GMB	0.56324
GEO	9.862173
DEU	755.362342
GHA	14.479998
GRC	71.797869
GRL	0.511728
GRD	0.278597
GTM	19.411335
GIN	3.032114
GNB	0.308612
GUY	2.342628
HTI	3.366964
HND	10.470701
HKG	42.505723
HUN	49.628491
ISL	3.674529
IND	2591.323739
IDN	576.58439
IRN	755.402186
IRQ	211.270294
IRL	38.803394
ISR	62.212641
ITA	348.085029
JAM	8.009662
JPN	1135.688
JOR	24.923803
KAZ	319.647412
KEN	17.136703
KIR	0.068879
KWT	104.217567
KGZ	10.16888
LAO	32.26245
LVA	7.859287
LBN	27.565431
LSO	2.425558
LBR	1.27446
LBY	45.205986
LIE	0.14375
LTU	13.669492
LUX	9.56852
MAC	2.216456
MDG	4.187806
MWI	1.470252
MYS	249.144498
MDV	1.565092
MLI	3.273276
MLT	1.531581
MHL	0.153065
MRT	3.934804
MUS	4.901611
MEX	451.080829
MDA	5.877784
MNG	64.508256
MNE	2.123147
MAR	65.367444
MOZ	8.383478
MMR	26.095603
NAM	4.154302
NRU	0.049746
NPL	13.410432
NLD	160.170147
NCL	8.20904
NZL	35.080341
NIC	5.377193
NER	2.093847
NGA	136.078346
NIU	0.007653
PRK	38.162935
MKD	6.980909
NOR	43.817657
OMN	71.029916
PAK	247.425382
PAN	12.096333
PNG	6.786146
PRY	8.103032
PER	54.210259
PHL	138.924391
POL	337.705742
PRT	51.482481
QAT	109.24468
ROU	76.951219
RUS	1691.360426
RWA	1.080098
SHN	0.011319
KNA	0.249014
LCA	0.362202
SPM	0.079232
VCT	0.264106
WSM	0.267864
STP	0.126126
SAU	576.757836
SRB	46.0531
SYC	0.60536
SLE	0.987559
SGP	38.28806
SVK	36.087837
SVN	14.487844
SLB	0.298477
SOM	0.658329
KOR	634.934068
SSD	1.539884
ESP	269.654254
LKA	22.973233
SDN	22.372399
SUR	2.551817
SWE	41.766183
CHE	36.895485
SYR	25.877689
TWN	273.104667
TJK	7.473265
TZA	11.501889
THA	292.452995
TLS	0.520422
TGO	3.167303
TON	0.164545
TTO	37.865571
TUN	30.357093
TUR	419.194747
TKM	78.034724
TUV	0.01148
UGA	5.384767
UKR	231.694165
ARE	188.541366
GBR	380.138559
USA	5424.881502
URY	6.251839
UZB	113.93837
VUT	0.145412
VEN	129.596274
VNM	211.774129
YEM	9.945288
ZMB	6.930094
ZWE	11.340575
