	Gold	Silver	Bronze	Total
USA	1134	914	799	2847
URS	473	376	355	1204
GER	329	350	340	1019
GBR	281	307	310	898
FRA	257	279	327	863
ITA	252	221	243	716
CHN	237	195	176	608
SWE	204	216	236	656
RUS	197	168	189	554
GDR	192	165	162	519
NOR	188	175	159	522
HUN	177	151	174	502
JPN	156	158	185	499
AUS	150	168	192	510
FIN	147	149	179	475
CAN	136	167	198	501
NED	133	138	152	423
KOR	121	112	104	337
SUI	109	125	119	353
ROU	89	94	122	305
AUT	85	117	125	327
POL	78	93	143	314
CUB	77	66	77	220
FRG	67	82	94	243
EUN	54	44	37	135
BUL	52	89	83	224
TCH	51	58	62	171
ESP	46	64	44	154
NZL	46	28	46	120
DEN	45	80	79	204
BEL	44	58	63	165
TUR	39	24	28	91
UKR	37	31	60	128
GRE	34	44	40	118
KEN	31	38	34	103
BRA	30	36	63	129
RSA	26	32	30	88
YUG	26	32	29	87
CZE	24	28	35	87
JAM	22	35	20	77
ETH	22	11	21	54
ARG	21	25	28	74
IRI	21	21	27	69
BLR	20	32	44	96
KAZ	16	24	32	72
PRK	16	17	23	56
CRO	15	16	13	44
MEX	13	24	31	68
EST	13	11	17	41
SVK	12	16	8	36
IRL	9	11	14	34
THA	9	8	16	33
IND	9	7	12	28
GEO	8	7	17	32
UZB	8	6	18	32
SLO	7	13	20	40
INA	7	13	12	32
AZE	7	11	24	42
EGY	7	9	14	30
LTU	6	6	13	25
MAR	6	5	12	23
BAH	6	2	6	14
COL	5	9	14	28
TPE	5	7	12	24
ALG	5	4	8	17
LAT	4	14	10	28
POR	4	8	12	24
TUN	4	2	7	13
MIX	4	2	4	10
NGR	3	9	13	25
SRB	3	6	6	15
TTO	3	5	11	19
ANZ	3	4	5	12
ZIM	3	4	1	8
LUX	3	4	0	7
PAK	3	3	4	10
DOM	3	2	2	7
CMR	3	1	2	6
MGL	2	10	14	26
CHI	2	7	4	13
OAR	2	6	9	17
ARM	2	6	6	14
VEN	2	4	9	15
SCG	2	4	3	9
UGA	2	3	2	7
LIE	2	2	6	10
URU	2	2	6	10
BRN	2	1	0	3
VIE	1	3	1	5
PER	1	3	0	4
PUR	1	2	6	9
SGP	1	2	2	5
ISR	1	1	7	9
IOA	1	1	3	5
CRC	1	1	2	4
TJK	1	1	2	4
CIV	1	1	1	3
HKG	1	1	1	3
SYR	1	1	1	3
BDI	1	1	0	2
ECU	1	1	0	2
GRN	1	1	0	2
PAN	1	0	2	3
MOZ	1	0	1	2
SUR	1	0	1	2
UAE	1	0	1	2
FIJ	1	0	0	1
JOR	1	0	0	1
KOS	1	0	0	1
MAS	0	7	4	11
NAM	0	4	0	4
PHI	0	3	7	10
MDA	0	2	3	5
ISL	0	2	2	4
LBN	0	2	2	4
SRI	0	2	0	2
TAN	0	2	0	2
QAT	0	1	4	5
BOH	0	1	3	4
GHA	0	1	3	4
KGZ	0	1	3	4
KSA	0	1	2	3
HAI	0	1	1	2
NIG	0	1	1	2
UAR	0	1	1	2
ZAM	0	1	1	2
BOT	0	1	0	1
CYP	0	1	0	1
GAB	0	1	0	1
GUA	0	1	0	1
MNE	0	1	0	1
AHO	0	1	0	1
PAR	0	1	0	1
SAM	0	1	0	1
SEN	0	1	0	1
SUD	0	1	0	1
TGA	0	1	0	1
ISV	0	1	0	1
AFG	0	0	2	2
KUW	0	0	2	2
WIF	0	0	2	2
BAR	0	0	1	1
BER	0	0	1	1
DJI	0	0	1	1
ERI	0	0	1	1
GUY	0	0	1	1
IRQ	0	0	1	1
MRI	0	0	1	1
MON	0	0	1	1
MKD	0	0	1	1
TOG	0	0	1	1
