Evidence1	Evidence2	Evidence3	Evidence4	color	connectortype	database	elbows	endArrow	endX	endY	exactEnd	graphid	hideTooltip	id1	id2	linestyle	nodeName	point	startX	startY	type	width	zorder
3	1	D	D	ff0000				arrow	0	-1		d2919		ff0	d44		interaction	[{"graphref":"ff0","relx":"0.0","rely":"1.0","x":"720.0","y":"76.66666666666667"},{"relx":"0.0","arrowhead":"Arrow","y":"116.66666666666669","graphref":"d44","rely":"-1.0","x":"720.0"}]	0	1	solid	1	12288
1	1	C	D					square	-1	0		id632252e2		ec258	f13		interaction	[{"graphref":"ec258","relx":"1.0","x":"1199.0","rely":"0.0","y":"276.0"},{"graphref":"f13","rely":"0.0","x":"1224.230706092902","relx":"-1.0","y":"276.0","arrowhead":"TBar"}]	1	0	solid	1	12288
2	5	C	A					square	0	1		id76e06696		d254c	fe5		interaction	[{"rely":"-1.0","y":"435.66666666666663","x":"395.33333333333337","graphref":"ff3a7","relx":"0.0"},{"graphref":"fe5","rely":"1.0","x":"395.33333333333337","relx":"0.0","arrowhead":"TBar","y":"412.3333333333333"}]	0	-1	solid	1	12288
1	1	C	D	0000ff					-0.5	-1		b787a		dbe72	cb0		interaction	[{"graphref":"f02c5","relx":"1.0","rely":"0.5","y":"307.3333333333333","x":"126.33333333333333"},{"rely":"-1.0","x":"187.35101802779977","y":"374.19695452078867","relx":"-0.5","graphref":"cb0"}]	1	0.5	solid	1	12290
1	3	C	E					arrow	0	-1		baf22		cb605	defd7		interaction	[{"graphref":"e9cdc","relx":"0.0","rely":"1.0","y":"425.3333333333335","x":"116.99999999999994"},{"graphref":"c5179","x":"117.33333333333331","rely":"-1.0","relx":"0.0","y":"462.0","arrowhead":"Arrow"}]	0	1	solid	1	12292
3	4	A	A	0000ff				square	0	1		cc7da		bdb	a5f		interaction	[{"rely":"-1.0","x":"666.6666666666666","y":"728.0000000000001","relx":"0.0","graphref":"bdb"},{"rely":"1.0","x":"667.3333333333334","graphref":"a5f","y":"695.3333333333334","arrowhead":"TBar","relx":"0.0"}]	0	-1	solid	1	12294
3	3	B	D					arrow	0	-1		bc7e4		cec	e16		interaction	[{"rely":"1.0","y":"308.66666666666686","x":"281.33333333333326","graphref":"cec","relx":"0.0"},{"x":"280.6666666666667","rely":"-1.0","graphref":"e16","y":"359.3333333333333","arrowhead":"Arrow","relx":"0.0"}]	0	1	solid	1	12296
1	3	C	A	ff0000				arrow	-0.5	-1		b5cd8		f2e	cd5		interaction	[{"graphref":"f2e","relx":"0.0","y":"225.33333333333331","rely":"1.0","x":"933.3333333333334"},{"rely":"-1.0","x":"975.0","graphref":"cd5","arrowhead":"Arrow","y":"303.3333333333333","relx":"-0.5"}]	0	1	solid	1	12298
1	3	B	D	ff0000				arrow	0	-1		f11ae		cb6	a6d06		interaction	[{"rely":"1.0","y":"284.00000000000034","x":"499.99999999999955","relx":"0.0","graphref":"cb6"},{"y":"387.16666666666674","arrowhead":"Arrow","relx":"0.0","rely":"-1.0","x":"627.3333333333314","graphref":"a6d06"}]	0	1	solid	1	12300
1	3	D	A	ff0000				arrow	-1	0		bb62f		eed	ac6	Broken	interaction	[{"x":"856.6666666666666","rely":"0.0","y":"243.3333333333333","relx":"1.0","graphref":"eed"},{"relx":"-1.0","y":"245.33333333333317","arrowhead":"Arrow","graphref":"ac6","rely":"0.0","x":"1080.6666666666667"}]	1	0	dashed	1	12302
3	3	E	B					arrow	-1	0		b8961		ffcf1	cec		interaction	[{"rely":"0.0","y":"298.66666666666663","x":"230.33333333333334","graphref":"b4dc4","relx":"1.0"},{"graphref":"cec","rely":"0.0","x":"251.33333333333326","relx":"-1.0","y":"298.66666666666686","arrowhead":"Arrow"}]	1	0	solid	1	12304
